"Atrium Mall Saddar";"24.855931";"67.029814";"[[{x:24.8697688,y:67.0324843}, {x:24.8694084,y:67.0319358}, {x:24.8691511,y:67.0315146}, {x:24.8681762,y:67.0300807}, {x:24.8672787,y:67.0287507}, {x:24.866644,y:67.0276942}, {x:24.866001,y:67.0266144}, {x:24.8653045,y:67.0254406}, {x:24.8640915,y:67.0235491}, {x:24.8630842,y:67.0218682}, {x:24.8621012,y:67.0203026}, {x:24.8607124,y:67.0205594}, {x:24.8601531,y:67.0193414}, {x:24.8597656,y:67.019463}, {x:24.8593879,y:67.0196249}, {x:24.8588478,y:67.0197944}, {x:24.8583039,y:67.0199626}, {x:24.8586411,y:67.0208135}, {x:24.8588857,y:67.0214438}, {x:24.8591231,y:67.0220794}, {x:24.8582481,y:67.0224139}, {x:24.8573944,y:67.0228929}, {x:24.8559565,y:67.0213442}, {x:24.8533778,y:67.022545}, {x:24.8528644,y:67.0227508}, {x:24.8523123,y:67.0233173}, {x:24.851966,y:67.0254306}, {x:24.8508034,y:67.0270713}, {x:24.8503388,y:67.0280097}, {x:24.8502989,y:67.0285601}, {x:24.8501468,y:67.0283794}, {x:24.8494228,y:67.0272136}, {x:24.8486184,y:67.0268507}, {x:24.8480088,y:67.0307793}, {x:24.8462268,y:67.0277774}, {x:24.8447789,y:67.0288472}, {x:24.8439957,y:67.0290531}, {x:24.8433585,y:67.0292726}, {x:24.8423957,y:67.0305373}, {x:24.84206,y:67.0304219}, {x:24.8412618,y:67.0301349}, {x:24.8410206,y:67.0311251}, {x:24.8406126,y:67.0325973}, {x:24.8394646,y:67.0327391}, {x:24.8374315,y:67.033323}, {x:24.8359064,y:67.0367439}, {x:24.8356512,y:67.0373207}, {x:24.8361502,y:67.037892}, {x:24.8364668,y:67.0385248}, {x:24.8383118,y:67.0388256}, {x:24.8393052,y:67.0387561}, {x:24.8402741,y:67.0390002}, {x:24.8407366,y:67.0393946}, {x:24.8410861,y:67.0395015}, {x:24.8415341,y:67.0396728}, {x:24.8414958,y:67.0388686}, {x:24.8422551,y:67.0388038}, {x:24.8432281,y:67.0389008}, {x:24.8430079,y:67.0397197}, {x:24.8428047,y:67.0404554}, {x:24.8428267,y:67.0407142}, {x:24.8428171,y:67.0408616}, {x:24.8430288,y:67.0403888}, {x:24.8429875,y:67.0409031}, {x:24.8434868,y:67.0400755}, {x:24.8436352,y:67.0393367}, {x:24.8446483,y:67.0387147}, {x:24.845603,y:67.038125}, {x:24.8458572,y:67.0386729}, {x:24.8462198,y:67.039597}, {x:24.8466115,y:67.0405425}, {x:24.847702,y:67.0430452}, {x:24.8482571,y:67.0442657}, {x:24.8485445,y:67.0449841}, {x:24.8489486,y:67.0460089}, {x:24.8488319,y:67.0474843}, {x:24.8490313,y:67.0476391}, {x:24.8495176,y:67.0481169}, {x:24.8527913,y:67.0494825}, {x:24.8539651,y:67.0491359}, {x:24.8535837,y:67.0477941}, {x:24.8544344,y:67.0470497}, {x:24.8541862,y:67.0449736}, {x:24.854198,y:67.0420357}, {x:24.854366,y:67.0413369}, {x:24.8543465,y:67.0407992}, {x:24.8547408,y:67.0403124}, {x:24.855011,y:67.0396761}, {x:24.8553493,y:67.0392007}, {x:24.8559477,y:67.0385683}, {x:24.8560855,y:67.0381271}, {x:24.8561697,y:67.0377503}, {x:24.8564697,y:67.0372649}, {x:24.8570663,y:67.0347449}, {x:24.8579598,y:67.0345853}, {x:24.8588755,y:67.035677}, {x:24.8595497,y:67.0366104}, {x:24.860112,y:67.0382841}, {x:24.8602952,y:67.0383592}, {x:24.8607412,y:67.0380642}, {x:24.8610394,y:67.0374419}, {x:24.8614484,y:67.037171}, {x:24.8617454,y:67.0370276}, {x:24.8626654,y:67.0359883}, {x:24.8631071,y:67.0364241}, {x:24.8631775,y:67.035092}, {x:24.8626067,y:67.0351073}, {x:24.8620895,y:67.0351493}, {x:24.8619273,y:67.0339627}, {x:24.8624802,y:67.0327064}, {x:24.8626967,y:67.032579}, {x:24.862923,y:67.0325052}, {x:24.863395,y:67.0322343}, {x:24.8642709,y:67.0318214}, {x:24.8651907,y:67.0317945}, {x:24.8652029,y:67.0312501}, {x:24.8656579,y:67.0310597}, {x:24.8658404,y:67.0310543}, {x:24.8659791,y:67.0303623}, {x:24.8666287,y:67.0299144}, {x:24.8673076,y:67.0309202}, {x:24.8677824,y:67.0319452}, {x:24.8679712,y:67.0321465}, {x:24.8681818,y:67.032439}, {x:24.8685179,y:67.0331096}, {x:24.8689562,y:67.0334584}, {x:24.868725,y:67.0326943}, {x:24.8685972,y:67.0323596}, {x:24.869913,y:67.0337335}, {x:24.8701439,y:67.0335448}, {x:24.8702337,y:67.0334303}, {x:24.8702895,y:67.0332864}, {x:24.8700455,y:67.0329036}, {x:24.8699371,y:67.0327388}, {x:24.8697688,y:67.0324843}]]"
"26th Badar";"24.799932";"67.047141";"[[{x:24.8001367,y:67.0344972}, {x:24.7841627,y:67.0495173}, {x:24.7796017,y:67.0540233}, {x:24.7791874,y:67.0545115}, {x:24.7800589,y:67.0556004}, {x:24.7816071,y:67.0568342}, {x:24.7840021,y:67.0591302}, {x:24.7859203,y:67.061225}, {x:24.7872691,y:67.0625514}, {x:24.7879944,y:67.0627191}, {x:24.7895127,y:67.060171}, {x:24.791809,y:67.0578}, {x:24.7970395,y:67.0515129}, {x:24.7980131,y:67.0503219}, {x:24.7999226,y:67.0479409}, {x:24.8112587,y:67.0585303}, {x:24.8178031,y:67.0496251}, {x:24.816245,y:67.0480478}, {x:24.8149985,y:67.045183}, {x:24.8185617,y:67.0381455}, {x:24.8143559,y:67.0368365}, {x:24.8126848,y:67.0367873}, {x:24.81193,y:67.0367606}, {x:24.8090967,y:67.0355272}, {x:24.8050457,y:67.0327802}, {x:24.8025517,y:67.0370722}, {x:24.8001367,y:67.0344972}]]"
"Millennium Mall";"24.9012194";"67.1155617";"[[{x:24.8952479,y:67.1195678}, {x:24.8952515,y:67.1195742}, {x:24.8952575,y:67.1195849}, {x:24.8952734,y:67.1196037}, {x:24.8927236,y:67.1213954}, {x:24.8931907,y:67.1235197}, {x:24.8965774,y:67.1233159}, {x:24.8979399,y:67.1230906}, {x:24.898008,y:67.1236807}, {x:24.8982416,y:67.1247106}, {x:24.8984751,y:67.128058}, {x:24.9013069,y:67.1277093}, {x:24.9040609,y:67.1271353}, {x:24.9041096,y:67.1259874}, {x:24.9055985,y:67.1256762}, {x:24.9058126,y:67.1263843}, {x:24.9060266,y:67.1294742}, {x:24.9063964,y:67.1294528}, {x:24.9068051,y:67.1329718}, {x:24.9080118,y:67.1334224}, {x:24.9083621,y:67.1329504}, {x:24.9100358,y:67.1293884}, {x:24.9118262,y:67.1259123}, {x:24.9126436,y:67.1253973}, {x:24.9233467,y:67.1158701}, {x:24.9243975,y:67.1148401}, {x:24.9251759,y:67.1139389}, {x:24.9257986,y:67.1134239}, {x:24.9273309,y:67.1121579}, {x:24.9254483,y:67.1126514}, {x:24.9236775,y:67.1148186}, {x:24.9232689,y:67.1141105}, {x:24.9228602,y:67.1143251}, {x:24.9217997,y:67.1148937}, {x:24.9183358,y:67.1169322}, {x:24.9156795,y:67.1186059}, {x:24.9156016,y:67.1182411}, {x:24.9153681,y:67.1167284}, {x:24.9149789,y:67.1146255}, {x:24.9140837,y:67.1124368}, {x:24.9133442,y:67.1117931}, {x:24.9143561,y:67.1109563}, {x:24.9094714,y:67.107802}, {x:24.9157184,y:67.0997983}, {x:24.9118651,y:67.0950132}, {x:24.9115732,y:67.0961075}, {x:24.90916,y:67.0977061}, {x:24.9086637,y:67.0970088}, {x:24.9077296,y:67.0977813}, {x:24.907895,y:67.0982748}, {x:24.9066981,y:67.0994871}, {x:24.9038566,y:67.102459}, {x:24.9042945,y:67.1029633}, {x:24.9040708,y:67.1031456}, {x:24.9016281,y:67.1059995}, {x:24.9001929,y:67.1078984}, {x:24.8982686,y:67.1041969}, {x:24.8974695,y:67.1015703}, {x:24.8968455,y:67.0989008}, {x:24.8955389,y:67.0936691}, {x:24.8941096,y:67.0876543}, {x:24.8939258,y:67.0874866}, {x:24.8980058,y:67.10428}, {x:24.897317,y:67.1047765}, {x:24.8956139,y:67.1067184}, {x:24.8938623,y:67.1074641}, {x:24.8932881,y:67.1079924}, {x:24.8915704,y:67.1093564}, {x:24.8919742,y:67.1159344}, {x:24.8920521,y:67.1163636}, {x:24.8932199,y:67.1187669}, {x:24.8944072,y:67.1183377}, {x:24.8947576,y:67.1182519}, {x:24.8952266,y:67.1195229}, {x:24.8952357,y:67.1195447}, {x:24.8952466,y:67.1195628}, {x:24.8952479,y:67.1195678}]]"
"Kala Shah Kaku";"31.7427998";"74.2643051";"[[{x:31.7874052,y:74.2568758}, {x:31.7907611,y:74.2561892}, {x:31.7906517,y:74.2537859}, {x:31.790907,y:74.251211}, {x:31.7902869,y:74.2486361}, {x:31.7887184,y:74.248164}, {x:31.7870769,y:74.2496661}, {x:31.786785,y:74.2519835}, {x:31.7845963,y:74.2512968}, {x:31.7828453,y:74.2515543}, {x:31.7827358,y:74.2483786}, {x:31.7790512,y:74.2482928}, {x:31.7779568,y:74.2506531}, {x:31.7776649,y:74.2529276}, {x:31.7789053,y:74.2532709}, {x:31.7783581,y:74.2543438}, {x:31.7782851,y:74.2564896}, {x:31.7786499,y:74.2579487}, {x:31.7768623,y:74.2582062}, {x:31.7699668,y:74.2592791}, {x:31.7698939,y:74.2554167}, {x:31.7674858,y:74.2553738}, {x:31.7658804,y:74.2552021}, {x:31.7655885,y:74.2543438}, {x:31.7632898,y:74.2543438}, {x:31.7632533,y:74.2555455}, {x:31.760991,y:74.25576}, {x:31.7608086,y:74.2579058}, {x:31.7596044,y:74.2581633}, {x:31.7594585,y:74.2564467}, {x:31.7572691,y:74.2565754}, {x:31.7572326,y:74.2495802}, {x:31.7566852,y:74.2486361}, {x:31.7544958,y:74.2485932}, {x:31.7511385,y:74.2472628}, {x:31.7476352,y:74.2471341}, {x:31.7467958,y:74.2483357}, {x:31.7467593,y:74.252241}, {x:31.74873,y:74.2524126}, {x:31.748657,y:74.253228}, {x:31.7504087,y:74.2543438}, {x:31.751467,y:74.2558459}, {x:31.7517589,y:74.2577341}, {x:31.7505911,y:74.2597512}, {x:31.7492774,y:74.2601803}, {x:31.7482556,y:74.2597941}, {x:31.7473797,y:74.2602232}, {x:31.7473797,y:74.2584637}, {x:31.7445696,y:74.2585495}, {x:31.7445696,y:74.2576912}, {x:31.7429273,y:74.2572621}, {x:31.7426353,y:74.254773}, {x:31.7394236,y:74.2548588}, {x:31.7359198,y:74.2582491}, {x:31.7315399,y:74.2601374}, {x:31.7304813,y:74.2598799}, {x:31.7304813,y:74.2627982}, {x:31.7285833,y:74.2627552}, {x:31.7255901,y:74.2627123}, {x:31.7252251,y:74.2598799}, {x:31.7226333,y:74.2589787}, {x:31.7225238,y:74.2570475}, {x:31.7206986,y:74.256275}, {x:31.7183258,y:74.2563179}, {x:31.7179607,y:74.2601374}, {x:31.720005,y:74.2606524}, {x:31.720151,y:74.2661456}, {x:31.7108783,y:74.2662314}, {x:31.707775,y:74.265931}, {x:31.7055479,y:74.2644719}, {x:31.7011665,y:74.2596224}, {x:31.6992679,y:74.2612532}, {x:31.6961461,y:74.2654804}, {x:31.6946123,y:74.2664675}, {x:31.692038,y:74.2670038}, {x:31.6905043,y:74.2680767}, {x:31.6894453,y:74.2673043}, {x:31.6834198,y:74.2684201}, {x:31.6816303,y:74.2700079}, {x:31.6812286,y:74.2732695}, {x:31.6821051,y:74.2769173}, {x:31.6851727,y:74.2761877}, {x:31.6858301,y:74.2812088}, {x:31.6876925,y:74.2800072}, {x:31.6915633,y:74.2793206}, {x:31.6944845,y:74.2786339}, {x:31.6940463,y:74.2744282}, {x:31.7036128,y:74.2724541}, {x:31.7144926,y:74.2703083}, {x:31.7148577,y:74.2745999}, {x:31.7196765,y:74.2738274}, {x:31.7317954,y:74.2730549}, {x:31.7297513,y:74.2697075}, {x:31.7297513,y:74.2670468}, {x:31.7333101,y:74.2662314}, {x:31.7336751,y:74.2692784}, {x:31.7362666,y:74.2695358}, {x:31.7380367,y:74.2691925}, {x:31.7438214,y:74.2641285}, {x:31.7485293,y:74.2631844}, {x:31.7544046,y:74.262369}, {x:31.7564481,y:74.2661456}, {x:31.7587105,y:74.2654589}, {x:31.7583456,y:74.2624977}, {x:31.7569589,y:74.2618111}, {x:31.7594402,y:74.2613819}, {x:31.7637824,y:74.2607382}, {x:31.7668108,y:74.2600087}, {x:31.7672122,y:74.2645148}, {x:31.7660446,y:74.2658451}, {x:31.7659716,y:74.2699221}, {x:31.7680513,y:74.2698792}, {x:31.7681973,y:74.2675188}, {x:31.7698756,y:74.2676047}, {x:31.7699851,y:74.2698792}, {x:31.7733417,y:74.2698792}, {x:31.7733417,y:74.2663172}, {x:31.772685,y:74.2662743}, {x:31.772685,y:74.2636994}, {x:31.7689635,y:74.2639998}, {x:31.7687811,y:74.2618969}, {x:31.7673216,y:74.2619398}, {x:31.7674676,y:74.2601803}, {x:31.7758226,y:74.2587212}, {x:31.775859,y:74.2618969}, {x:31.7773548,y:74.2616824}, {x:31.7772089,y:74.2584208}, {x:31.7780845,y:74.2584208}, {x:31.7783763,y:74.2621544}, {x:31.7807476,y:74.2616824}, {x:31.7803463,y:74.2581633}, {x:31.785563,y:74.2572192}, {x:31.7858183,y:74.2601374}, {x:31.7876423,y:74.260073}, {x:31.7874052,y:74.2568758}]]"
"Islamabad E-11";"33.6995741";"72.9711093";"[[{x:33.70217,y:72.984527}, {x:33.708739,y:72.979807}, {x:33.700742,y:72.964357}, {x:33.700956,y:72.96101}, {x:33.709239,y:72.955173}, {x:33.709453,y:72.952684}, {x:33.705597,y:72.935089}, {x:33.692316,y:72.945045}, {x:33.693315,y:72.946504}, {x:33.700171,y:72.960409}, {x:33.699885,y:72.962984}, {x:33.68546,y:72.975}, {x:33.6909585,y:72.985128}, {x:33.6924583,y:72.987703}, {x:33.6943133,y:72.9908806}, {x:33.70217,y:72.984527}]]"
"I.I Chundrigar Road";"24.8497513";"67.0044351";"[[{x:24.8490333,y:67.0290107}, {x:24.8491501,y:67.0283455}, {x:24.8486891,y:67.0285021}, {x:24.8490333,y:67.0290107}]]"
"Hyderabad Thandi Sarak";"25.3800276";"68.3365971";"[[{x:25.3758061,y:68.3539295}, {x:25.3782489,y:68.3505608}, {x:25.3826303,y:68.3465052}, {x:25.3794123,y:68.3590364}, {x:25.3841036,y:68.3617831}, {x:25.3848402,y:68.3624268}, {x:25.3854024,y:68.3660746}, {x:25.3857126,y:68.367641}, {x:25.3866237,y:68.367126}, {x:25.3879419,y:68.3666968}, {x:25.3891438,y:68.3664393}, {x:25.3900549,y:68.3663535}, {x:25.3893958,y:68.3654737}, {x:25.3892989,y:68.3648515}, {x:25.3890275,y:68.3631563}, {x:25.3882909,y:68.3620834}, {x:25.3872441,y:68.3611393}, {x:25.3909273,y:68.3485222}, {x:25.3899192,y:68.3482647}, {x:25.3881746,y:68.3477068}, {x:25.3877481,y:68.3421707}, {x:25.3889888,y:68.3429432}, {x:25.3915476,y:68.3447456}, {x:25.3955796,y:68.3472777}, {x:25.3961854,y:68.346878}, {x:25.3988459,y:68.3461349}, {x:25.4012931,y:68.3453919}, {x:25.4038211,y:68.3446625}, {x:25.4032312,y:68.3411676}, {x:25.4032554,y:68.3390593}, {x:25.4010845,y:68.3393812}, {x:25.3954633,y:68.3331156}, {x:25.3907722,y:68.327322}, {x:25.3840648,y:68.319211}, {x:25.3816221,y:68.3239746}, {x:25.3845688,y:68.3290386}, {x:25.3865462,y:68.3313131}, {x:25.3836383,y:68.3341885}, {x:25.3827078,y:68.3333302}, {x:25.3808467,y:68.3336306}, {x:25.3795284,y:68.3338451}, {x:25.3789856,y:68.3339739}, {x:25.3780938,y:68.3319569}, {x:25.3786366,y:68.3301115}, {x:25.3796835,y:68.3271503}, {x:25.3805753,y:68.3241034}, {x:25.3795284,y:68.3218718}, {x:25.3786366,y:68.3201981}, {x:25.3774734,y:68.3177948}, {x:25.376504,y:68.3192539}, {x:25.3757673,y:68.3199406}, {x:25.3743326,y:68.320756}, {x:25.3737898,y:68.3218718}, {x:25.3739061,y:68.3223438}, {x:25.3746428,y:68.3240175}, {x:25.3706489,y:68.3261633}, {x:25.3691366,y:68.3277082}, {x:25.3673141,y:68.3300686}, {x:25.3654528,y:68.3316994}, {x:25.3630485,y:68.3390379}, {x:25.357852,y:68.344059}, {x:25.3637465,y:68.3515692}, {x:25.3681284,y:68.3565044}, {x:25.3695632,y:68.3544016}, {x:25.3725102,y:68.3517408}, {x:25.3745653,y:68.3549166}, {x:25.3754181,y:68.354273}, {x:25.3758061,y:68.3539295}]]"
"New North Nazimabad";"24.943001";"67.0458522";"[[{x:24.937753,y:67.0433965}, {x:24.9339879,y:67.0487716}, {x:24.9321249,y:67.0512015}, {x:24.9371108,y:67.0553481}, {x:24.9428992,y:67.0613884}, {x:24.9479138,y:67.0653312}, {x:24.9517637,y:67.0601363}, {x:24.9535232,y:67.0578391}, {x:24.9546212,y:67.0565504}, {x:24.9596524,y:67.0613486}, {x:24.9648002,y:67.0661044}, {x:24.96463,y:67.0548014}, {x:24.959504,y:67.0493188}, {x:24.949874,y:67.0391685}, {x:24.9411773,y:67.0320668}, {x:24.9398348,y:67.0312729}, {x:24.9378891,y:67.0293417}, {x:24.9355958,y:67.0314503}, {x:24.931293,y:67.0374742}, {x:24.9348344,y:67.040607}, {x:24.9370525,y:67.0427313}, {x:24.937753,y:67.0433965}]]"
"Park Lane Tower";"31.5292971";"74.3787239";"[[{x:31.5409161,y:74.3902087}, {x:31.540459,y:74.3896937}, {x:31.5399652,y:74.3895006}, {x:31.5393168,y:74.3874344}, {x:31.5372552,y:74.3889332}, {x:31.5357124,y:74.3889102}, {x:31.5341403,y:74.3770551}, {x:31.5278363,y:74.3763534}, {x:31.524377,y:74.3769531}, {x:31.5221482,y:74.3764411}, {x:31.5209856,y:74.3767352}, {x:31.519849,y:74.3765411}, {x:31.5188952,y:74.3762183}, {x:31.5185477,y:74.3759609}, {x:31.5129728,y:74.3760843}, {x:31.5072882,y:74.3758215}, {x:31.5068492,y:74.3783641}, {x:31.5034071,y:74.3784866}, {x:31.4960549,y:74.3769049}, {x:31.4962008,y:74.3842744}, {x:31.50286,y:74.3884747}, {x:31.5060432,y:74.3884291}, {x:31.5089336,y:74.3954218}, {x:31.5167274,y:74.3953575}, {x:31.5285266,y:74.3988877}, {x:31.5327978,y:74.3990486}, {x:31.5325331,y:74.4062381}, {x:31.5315227,y:74.4133678}, {x:31.5303658,y:74.4236727}, {x:31.5369044,y:74.4249815}, {x:31.5404572,y:74.4183996}, {x:31.5416687,y:74.4101006}, {x:31.5422629,y:74.404757}, {x:31.5412754,y:74.4023964}, {x:31.5406536,y:74.3996495}, {x:31.5436867,y:74.3966138}, {x:31.5425529,y:74.3936955}, {x:31.5420066,y:74.3927275}, {x:31.5417529,y:74.3920168}, {x:31.541634,y:74.3916196}, {x:31.5409161,y:74.3902087}]]"
"Chanab";"32.4881981";"74.09102";""
